year,month,category,act_type,type,count
1990,5,Implementing acts,Council implementing regulations,basic,0
1990,5,Implementing acts,Council implementing regulations,amending,0
1990,5,Implementing acts,Council implementing decisions,basic,0
1990,5,Implementing acts,Council implementing decisions,amending,0
1990,5,Implementing acts,Commission implementing regulations,basic,0
1990,5,Implementing acts,Commission implementing regulations,amending,0
1990,5,Implementing acts,Commission implementing directives,basic,0
1990,5,Implementing acts,Commission implementing directives,amending,0
1990,5,Implementing acts,Commission implementing decisions,basic,0
1990,5,Implementing acts,Commission implementing decisions,amending,0
1990,5,Other acts,Commission regulations,basic,60
1990,5,Other acts,Commission regulations,amending,22
1990,5,Other acts,Commission directives,basic,0
1990,5,Other acts,Commission directives,amending,1
1990,5,Other acts,Commission decisions,basic,16
1990,5,Other acts,Commission decisions,amending,9
1990,5,Other acts,European Central Bank regulations,basic,0
1990,5,Other acts,European Central Bank regulations,amending,0
1990,5,Other acts,European Central Bank decisions,basic,0
1990,5,Other acts,European Central Bank decisions,amending,0
1990,5,Other acts,European Central Bank guidelines****,basic,0
1990,5,Other acts,European Central Bank guidelines****,amending,0
1990,5,Other acts,European Central Bank recommendations,basic,0
1990,5,Other acts,European Central Bank recommendations,amending,0
1990,5,Other acts,European Central Bank opinions,basic,0
1990,5,Other acts,European Central Bank opinions,amending,0
1990,6,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0
1990,6,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0
1990,6,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0
1990,6,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0
1990,6,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0
1990,6,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0
1990,6,Other legislative acts,Council regulations,basic,25
1990,6,Other legislative acts,Council regulations,amending,9
1990,6,Other legislative acts,Council directives,basic,17
1990,6,Other legislative acts,Council directives,amending,1
1990,6,Other legislative acts,Council decisions,basic,7
1990,6,Other legislative acts,Council decisions,amending,2
1990,6,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0
1990,6,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0
1990,6,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0
1990,6,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0
1990,6,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0
1990,6,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0
1990,6,Implementing acts,Council implementing regulations,basic,0
1990,6,Implementing acts,Council implementing regulations,amending,0
1990,6,Implementing acts,Council implementing decisions,basic,0
1990,6,Implementing acts,Council implementing decisions,amending,0
1990,6,Implementing acts,Commission implementing regulations,basic,0
1990,6,Implementing acts,Commission implementing regulations,amending,0
1990,6,Implementing acts,Commission implementing directives,basic,0
1990,6,Implementing acts,Commission implementing directives,amending,0
1990,6,Implementing acts,Commission implementing decisions,basic,0
1990,6,Implementing acts,Commission implementing decisions,amending,0
1990,6,Other acts,Commission regulations,basic,73
1990,6,Other acts,Commission regulations,amending,45
1990,6,Other acts,Commission directives,basic,1
1990,6,Other acts,Commission directives,amending,1
1990,6,Other acts,Commission decisions,basic,68
1990,6,Other acts,Commission decisions,amending,6
1990,6,Other acts,European Central Bank regulations,basic,0
1990,6,Other acts,European Central Bank regulations,amending,0
1990,6,Other acts,European Central Bank decisions,basic,0
1990,6,Other acts,European Central Bank decisions,amending,0
1990,6,Other acts,European Central Bank guidelines****,basic,0
1990,6,Other acts,European Central Bank guidelines****,amending,0
1990,6,Other acts,European Central Bank recommendations,basic,0
1990,6,Other acts,European Central Bank recommendations,amending,0
1990,6,Other acts,European Central Bank opinions,basic,0
1990,6,Other acts,European Central Bank opinions,amending,0
1990,7,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0
1990,7,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0
1990,7,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0
1990,7,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0
1990,7,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0
1990,7,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0
1990,7,Other legislative acts,Council regulations,basic,28
1990,7,Other legislative acts,Council regulations,amending,19
1990,7,Other legislative acts,Council directives,basic,2
1990,7,Other legislative acts,Council directives,amending,3
1990,7,Other legislative acts,Council decisions,basic,7
1990,7,Other legislative acts,Council decisions,amending,12
1990,7,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0
1990,7,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0
1990,7,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0
1990,7,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0
1990,7,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0
1990,7,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0
1990,7,Implementing acts,Council implementing regulations,basic,0
1990,7,Implementing acts,Council implementing regulations,amending,0
1990,7,Implementing acts,Council implementing decisions,basic,0
1990,7,Implementing acts,Council implementing decisions,amending,0
1990,7,Implementing acts,Commission implementing regulations,basic,0
1990,7,Implementing acts,Commission implementing regulations,amending,0
1990,7,Implementing acts,Commission implementing directives,basic,0
1990,7,Implementing acts,Commission implementing directives,amending,0
1990,7,Implementing acts,Commission implementing decisions,basic,0
1990,7,Implementing acts,Commission implementing decisions,amending,0
1990,7,Other acts,Commission regulations,basic,96
1990,7,Other acts,Commission regulations,amending,33
1990,7,Other acts,Commission directives,basic,0
1990,7,Other acts,Commission directives,amending,2
1990,7,Other acts,Commission decisions,basic,34
1990,7,Other acts,Commission decisions,amending,6
1990,7,Other acts,European Central Bank regulations,basic,0
1990,7,Other acts,European Central Bank regulations,amending,0
1990,7,Other acts,European Central Bank decisions,basic,0
1990,7,Other acts,European Central Bank decisions,amending,0
1990,7,Other acts,European Central Bank guidelines****,basic,0
1990,7,Other acts,European Central Bank guidelines****,amending,0
1990,7,Other acts,European Central Bank recommendations,basic,0
1990,7,Other acts,European Central Bank recommendations,amending,0
1990,7,Other acts,European Central Bank opinions,basic,0
1990,7,Other acts,European Central Bank opinions,amending,0
1990,8,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0
1990,8,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0
1990,8,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0
1990,8,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0
1990,8,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0
1990,8,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0
1990,8,Other legislative acts,Council regulations,basic,1
1990,8,Other legislative acts,Council regulations,amending,0
1990,8,Other legislative acts,Council directives,basic,0
1990,8,Other legislative acts,Council directives,amending,0
1990,8,Other legislative acts,Council decisions,basic,0
1990,8,Other legislative acts,Council decisions,amending,0
1990,8,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0
1990,8,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0
1990,8,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0
1990,8,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0
1990,8,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0
1990,8,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0
1990,8,Implementing acts,Council implementing regulations,basic,0
1990,8,Implementing acts,Council implementing regulations,amending,0
1990,8,Implementing acts,Council implementing decisions,basic,0
1990,8,Implementing acts,Council implementing decisions,amending,0
1990,8,Implementing acts,Commission implementing regulations,basic,0
1990,8,Implementing acts,Commission implementing regulations,amending,0
1990,8,Implementing acts,Commission implementing directives,basic,0
1990,8,Implementing acts,Commission implementing directives,amending,0
1990,8,Implementing acts,Commission implementing decisions,basic,0
1990,8,Implementing acts,Commission implementing decisions,amending,0
1990,8,Other acts,Commission regulations,basic,49
1990,8,Other acts,Commission regulations,amending,10
1990,8,Other acts,Commission directives,basic,0
1990,8,Other acts,Commission directives,amending,0
1990,8,Other acts,Commission decisions,basic,10
1990,8,Other acts,Commission decisions,amending,2
1990,8,Other acts,European Central Bank regulations,basic,0
1990,8,Other acts,European Central Bank regulations,amending,0
1990,8,Other acts,European Central Bank decisions,basic,0
1990,8,Other acts,European Central Bank decisions,amending,0
1990,8,Other acts,European Central Bank guidelines****,basic,0
1990,8,Other acts,European Central Bank guidelines****,amending,0
1990,8,Other acts,European Central Bank recommendations,basic,0
1990,8,Other acts,European Central Bank recommendations,amending,0
1990,8,Other acts,European Central Bank opinions,basic,0
1990,8,Other acts,European Central Bank opinions,amending,0
1990,9,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0
1990,9,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0
1990,9,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0
1990,9,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0
1990,9,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0
1990,9,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0
1990,9,Other legislative acts,Council regulations,basic,8
1990,9,Other legislative acts,Council regulations,amending,4
1990,9,Other legislative acts,Council directives,basic,3
1990,9,Other legislative acts,Council directives,amending,3
1990,9,Other legislative acts,Council decisions,basic,8
1990,9,Other legislative acts,Council decisions,amending,3
1990,9,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0
1990,9,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0
1990,9,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0
1990,9,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0
1990,9,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0
1990,9,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0
1990,9,Implementing acts,Council implementing regulations,basic,0
1990,9,Implementing acts,Council implementing regulations,amending,0
1990,9,Implementing acts,Council implementing decisions,basic,0
1990,9,Implementing acts,Council implementing decisions,amending,0
1990,9,Implementing acts,Commission implementing regulations,basic,0
1990,9,Implementing acts,Commission implementing regulations,amending,0
1990,9,Implementing acts,Commission implementing directives,basic,0
1990,9,Implementing acts,Commission implementing directives,amending,0
1990,9,Implementing acts,Commission implementing decisions,basic,0
1990,9,Implementing acts,Commission implementing decisions,amending,0
1990,9,Other acts,Commission regulations,basic,68
1990,9,Other acts,Commission regulations,amending,22
1990,9,Other acts,Commission directives,basic,0
1990,9,Other acts,Commission directives,amending,3
1990,9,Other acts,Commission decisions,basic,19
1990,9,Other acts,Commission decisions,amending,5
1990,9,Other acts,European Central Bank regulations,basic,0
1990,9,Other acts,European Central Bank regulations,amending,0
1990,9,Other acts,European Central Bank decisions,basic,0
1990,9,Other acts,European Central Bank decisions,amending,0
1990,9,Other acts,European Central Bank guidelines****,basic,0
1990,9,Other acts,European Central Bank guidelines****,amending,0
1990,9,Other acts,European Central Bank recommendations,basic,0
1990,9,Other acts,European Central Bank recommendations,amending,0
1990,9,Other acts,European Central Bank opinions,basic,0
1990,9,Other acts,European Central Bank opinions,amending,0
1990,10,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0
1990,10,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0
1990,10,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0
1990,10,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0
1990,10,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0
1990,10,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0
1990,10,Other legislative acts,Council regulations,basic,15
1990,10,Other legislative acts,Council regulations,amending,12
1990,10,Other legislative acts,Council directives,basic,3
1990,10,Other legislative acts,Council directives,amending,3
1990,10,Other legislative acts,Council decisions,basic,8
1990,10,Other legislative acts,Council decisions,amending,3
1990,10,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0
1990,10,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0
1990,10,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0
1990,10,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0
1990,10,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0
1990,10,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0
1990,10,Implementing acts,Council implementing regulations,basic,0
1990,10,Implementing acts,Council implementing regulations,amending,0
1990,10,Implementing acts,Council implementing decisions,basic,0
1990,10,Implementing acts,Council implementing decisions,amending,0
1990,10,Implementing acts,Commission implementing regulations,basic,0
1990,10,Implementing acts,Commission implementing regulations,amending,0
1990,10,Implementing acts,Commission implementing directives,basic,0
1990,10,Implementing acts,Commission implementing directives,amending,0
1990,10,Implementing acts,Commission implementing decisions,basic,0
1990,10,Implementing acts,Commission implementing decisions,amending,0
1990,10,Other acts,Commission regulations,basic,66
1990,10,Other acts,Commission regulations,amending,27
1990,10,Other acts,Commission directives,basic,3
1990,10,Other acts,Commission directives,amending,1
1990,10,Other acts,Commission decisions,basic,19
1990,10,Other acts,Commission decisions,amending,4
1990,10,Other acts,European Central Bank regulations,basic,0
1990,10,Other acts,European Central Bank regulations,amending,0
1990,10,Other acts,European Central Bank decisions,basic,0
1990,10,Other acts,European Central Bank decisions,amending,0
1990,10,Other acts,European Central Bank guidelines****,basic,0
1990,10,Other acts,European Central Bank guidelines****,amending,0
1990,10,Other acts,European Central Bank recommendations,basic,0
1990,10,Other acts,European Central Bank recommendations,amending,0
1990,10,Other acts,European Central Bank opinions,basic,0
1990,10,Other acts,European Central Bank opinions,amending,0
1990,11,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0
1990,11,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0
1990,11,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0
